年度季別,醫事機構代碼,醫事機構名稱,特約類別,血清白蛋白檢查人數,腹膜透析人數,血清白蛋白受檢率,檢測方法,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
106年第三季,1532100049,聯新國際醫院,區域醫院,68.00,70.00,0.9714,BCG,6,是,否,桃園市,平鎮區
106年第四季,1532100049,聯新國際醫院,區域醫院,71.00,72.00,0.9861,BCG,7,是,否,桃園市,平鎮區
107年第一季,1532100049,聯新國際醫院,區域醫院,73.00,74.00,0.9865,BCG,8,是,否,桃園市,平鎮區
107年第二季,1532100049,聯新國際醫院,區域醫院,80.00,80.00,1.0000,BCG,8,是,否,桃園市,平鎮區
107年第三季,1532100049,聯新國際醫院,區域醫院,80.00,80.00,1.0000,BCG,8,是,否,桃園市,平鎮區
107年第四季,1532100049,聯新國際醫院,區域醫院,90.00,90.00,1.0000,BCG,7,是,否,桃園市,平鎮區
108年第一季,1532100049,聯新國際醫院,區域醫院,91.00,92.00,0.9891,BCG,7,是,否,桃園市,平鎮區
108年第二季,1532100049,聯新國際醫院,區域醫院,90.00,90.00,1.0000,BCG,7,是,否,桃園市,平鎮區
108年第三季,1532100049,聯新國際醫院,區域醫院,95.00,95.00,1.0000,BCG,7,是,否,桃園市,平鎮區
108年第四季,1532100049,聯新國際醫院,區域醫院,93.00,93.00,1.0000,BCG,7,是,否,桃園市,平鎮區
109年第一季,1532100049,聯新國際醫院,區域醫院,92.00,92.00,1.0000,BCG,7,是,否,桃園市,平鎮區
109年第二季,1532100049,聯新國際醫院,區域醫院,95.00,96.00,0.9896,BCG,7,是,否,桃園市,平鎮區
109年第三季,1532100049,聯新國際醫院,區域醫院,102.00,103.00,0.9903,BCG,8,是,否,桃園市,平鎮區
109年第四季,1532100049,聯新國際醫院,區域醫院,98.00,99.00,0.9899,BCG,8,是,否,桃園市,平鎮區
110年第一季,1532100049,聯新國際醫院,區域醫院,98.00,99.00,0.9899,BCG,9,是,否,桃園市,平鎮區
110年第二季,1532100049,聯新國際醫院,區域醫院,100.00,102.00,0.9804,BCG,9,是,否,桃園市,平鎮區
110年第三季,1532100049,聯新國際醫院,區域醫院,100.00,101.00,0.9901,BCG,9,是,否,桃園市,平鎮區
110年第四季,1532100049,聯新國際醫院,區域醫院,97.00,99.00,0.9798,BCG,8,是,否,桃園市,平鎮區
111年第一季,1532100049,聯新國際醫院,區域醫院,89.00,90.00,0.9889,BCG,8,是,否,桃園市,平鎮區
111年第二季,1532100049,聯新國際醫院,區域醫院,95.00,95.00,1.0000,BCG,8,是,否,桃園市,平鎮區
111年第三季,1532100049,聯新國際醫院,區域醫院,98.00,98.00,1.0000,BCG,6,是,否,桃園市,平鎮區
111年第四季,1532100049,聯新國際醫院,區域醫院,94.00,95.00,0.9895,BCG,6,是,否,桃園市,平鎮區
112年第一季,1532100049,聯新國際醫院,區域醫院,97.00,97.00,1.0000,BCG,6,是,否,桃園市,平鎮區
112年第二季,1532100049,聯新國際醫院,區域醫院,92.00,92.00,1.0000,BCG,7,是,否,桃園市,平鎮區
95年第一季,1535010051,大千綜合醫院,地區醫院,2.00,2.00,1.0000,BCP,1,否,否,苗栗縣,苗栗市
95年第三季,1535010051,大千綜合醫院,地區醫院,3.00,3.00,1.0000,BCP,1,否,否,苗栗縣,苗栗市
95年第四季,1535010051,大千綜合醫院,地區醫院,4.00,4.00,1.0000,BCP,1,否,否,苗栗縣,苗栗市
96年第一季,1535010051,大千綜合醫院,地區醫院,8.00,8.00,1.0000,BCP,1,否,否,苗栗縣,苗栗市
96年第二季,1535010051,大千綜合醫院,地區醫院,9.00,9.00,1.0000,BCP,1,是,否,苗栗縣,苗栗市
96年第三季,1535010051,大千綜合醫院,地區醫院,11.00,11.00,1.0000,BCP,1,是,否,苗栗縣,苗栗市
96年第四季,1535010051,大千綜合醫院,地區醫院,11.00,11.00,1.0000,BCP,1,是,否,苗栗縣,苗栗市
97年第一季,1535010051,大千綜合醫院,地區醫院,12.00,12.00,1.0000,BCP,1,是,否,苗栗縣,苗栗市
97年第二季,1535010051,大千綜合醫院,地區醫院,12.00,12.00,1.0000,BCP,1,是,否,苗栗縣,苗栗市
97年第三季,1535010051,大千綜合醫院,地區醫院,18.00,18.00,1.0000,BCP,1,是,否,苗栗縣,苗栗市
97年第四季,1535010051,大千綜合醫院,地區醫院,20.00,21.00,0.9523,BCP,1,是,否,苗栗縣,苗栗市
98年第一季,1535010051,大千綜合醫院,地區醫院,29.00,29.00,1.0000,BCP,2,是,是,苗栗縣,苗栗市
98年第二季,1535010051,大千綜合醫院,地區醫院,29.00,29.00,1.0000,BCP,2,是,是,苗栗縣,苗栗市
98年第三季,1535010051,大千綜合醫院,地區醫院,28.00,28.00,1.0000,BCP,2,是,是,苗栗縣,苗栗市
98年第四季,1535010051,大千綜合醫院,地區醫院,31.00,32.00,0.9687,BCP,3,是,是,苗栗縣,苗栗市
99年第一季,1535010051,大千綜合醫院,地區醫院,34.00,34.00,1.0000,BCP,2,是,是,苗栗縣,苗栗市
99年第二季,1535010051,大千綜合醫院,地區醫院,33.00,34.00,0.9705,BCP,2,是,是,苗栗縣,苗栗市
99年第三季,1535010051,大千綜合醫院,地區醫院,34.00,34.00,1.0000,BCP,2,是,是,苗栗縣,苗栗市
99年第四季,1535010051,大千綜合醫院,地區醫院,34.00,34.00,1.0000,BCG,2,是,是,苗栗縣,苗栗市
100年第一季,1535010051,大千綜合醫院,地區醫院,33.00,33.00,1.0000,BCG,2,是,是,苗栗縣,苗栗市
100年第二季,1535010051,大千綜合醫院,地區醫院,8.00,13.00,0.6153,BCG,3,是,是,苗栗縣,苗栗市
100年第三季,1535010051,大千綜合醫院,地區醫院,9.00,9.00,1.0000,BCG,5,是,是,苗栗縣,苗栗市
100年第四季,1535010051,大千綜合醫院,地區醫院,8.00,9.00,0.8888,BCG,5,是,是,苗栗縣,苗栗市
101年第一季,1535010051,大千綜合醫院,地區醫院,6.00,6.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
101年第二季,1535010051,大千綜合醫院,地區醫院,7.00,7.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
101年第三季,1535010051,大千綜合醫院,地區醫院,9.00,10.00,0.9000,BCG,4,是,是,苗栗縣,苗栗市
101年第四季,1535010051,大千綜合醫院,地區醫院,9.00,9.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
102年第一季,1535010051,大千綜合醫院,地區醫院,12.00,12.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
102年第二季,1535010051,大千綜合醫院,地區醫院,11.00,11.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
102年第三季,1535010051,大千綜合醫院,地區醫院,16.00,16.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
102年第四季,1535010051,大千綜合醫院,地區醫院,21.00,21.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
103年第一季,1535010051,大千綜合醫院,地區醫院,19.00,19.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
103年第二季,1535010051,大千綜合醫院,地區醫院,18.00,18.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
103年第三季,1535010051,大千綜合醫院,地區醫院,20.00,20.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
103年第四季,1535010051,大千綜合醫院,地區醫院,23.00,23.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
104年第一季,1535010051,大千綜合醫院,地區醫院,18.00,18.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
104年第二季,1535010051,大千綜合醫院,地區醫院,18.00,18.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
104年第三季,1535010051,大千綜合醫院,地區醫院,20.00,20.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
104年第四季,1535010051,大千綜合醫院,地區醫院,20.00,20.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
105年第一季,1535010051,大千綜合醫院,地區醫院,15.00,15.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
105年第三季,1535010051,大千綜合醫院,地區醫院,20.00,20.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
105年第四季,1535010051,大千綜合醫院,地區醫院,19.00,19.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
106年第一季,1535010051,大千綜合醫院,地區醫院,15.00,15.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
106年第二季,1535010051,大千綜合醫院,地區醫院,18.00,18.00,1.0000,BCG,4,是,是,苗栗縣,苗栗市
106年第三季,1535010051,大千綜合醫院,地區醫院,16.00,16.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
106年第四季,1535010051,大千綜合醫院,地區醫院,17.00,17.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
107年第二季,1535010051,大千綜合醫院,地區醫院,13.00,13.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
107年第三季,1535010051,大千綜合醫院,地區醫院,14.00,14.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
107年第四季,1535010051,大千綜合醫院,地區醫院,15.00,15.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
108年第二季,1535010051,大千綜合醫院,地區醫院,13.00,13.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
108年第三季,1535010051,大千綜合醫院,地區醫院,12.00,12.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
108年第四季,1535010051,大千綜合醫院,地區醫院,14.00,14.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
109年第一季,1535010051,大千綜合醫院,地區醫院,15.00,15.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
109年第二季,1535010051,大千綜合醫院,地區醫院,13.00,13.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
109年第三季,1535010051,大千綜合醫院,地區醫院,11.00,11.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
109年第四季,1535010051,大千綜合醫院,地區醫院,13.00,13.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
110年第一季,1535010051,大千綜合醫院,地區醫院,13.00,13.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
110年第二季,1535010051,大千綜合醫院,地區醫院,16.00,16.00,1.0000,BCG,5,是,否,苗栗縣,苗栗市
110年第三季,1535010051,大千綜合醫院,地區醫院,18.00,18.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
110年第四季,1535010051,大千綜合醫院,地區醫院,17.00,17.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
111年第一季,1535010051,大千綜合醫院,地區醫院,20.00,20.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
111年第二季,1535010051,大千綜合醫院,地區醫院,20.00,20.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
111年第三季,1535010051,大千綜合醫院,地區醫院,18.00,18.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
111年第四季,1535010051,大千綜合醫院,地區醫院,20.00,20.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
112年第一季,1535010051,大千綜合醫院,地區醫院,23.00,23.00,1.0000,BCG,4,是,否,苗栗縣,苗栗市
112年第二季,1535010051,大千綜合醫院,地區醫院,21.00,22.00,0.9545,BCG,4,是,否,苗栗縣,苗栗市
99年第三季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCP,1,是,否,臺中市,大雅區
99年第四季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
100年第一季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,,臺中市,大雅區
100年第二季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,,臺中市,大雅區
100年第三季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,,臺中市,大雅區
100年第四季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,,臺中市,大雅區
101年第一季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
101年第二季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
101年第三季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
101年第四季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
102年第一季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
102年第二季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
102年第三季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
102年第四季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
103年第一季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,2,是,否,臺中市,大雅區
103年第二季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
103年第三季,1536100081,清泉醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,臺中市,大雅區
97年第四季,3501011313,安德聯合診所,基層醫療單位,1.00,1.00,1.0000,BCP,3,否,否,臺北市,松山區
98年第二季,3501011313,安德聯合診所,基層醫療單位,1.00,1.00,1.0000,BCP,3,否,否,臺北市,松山區
98年第三季,3501011313,安德聯合診所,基層醫療單位,1.00,1.00,1.0000,BCP,3,否,否,臺北市,松山區
98年第四季,3501011313,安德聯合診所,基層醫療單位,1.00,1.00,1.0000,BCP,3,否,否,臺北市,松山區
99年第一季,3501011313,安德聯合診所,基層醫療單位,2.00,2.00,1.0000,BCP,3,否,否,臺北市,松山區
99年第二季,3501011313,安德聯合診所,基層醫療單位,2.00,2.00,1.0000,BCP,3,否,否,臺北市,松山區
99年第三季,3501011313,安德聯合診所,基層醫療單位,2.00,2.00,1.0000,BCP,3,否,否,臺北市,松山區
99年第四季,3501011313,安德聯合診所,基層醫療單位,1.00,1.00,1.0000,BCG,3,否,否,臺北市,松山區
106年第三季,3503271353,大業診所,基層醫療單位,26.00,27.00,0.9630,BCG,4,是,否,臺中市,西屯區
107年第一季,3503271353,大業診所,基層醫療單位,25.00,25.00,1.0000,BCG,4,是,否,臺中市,西屯區
107年第二季,3503271353,大業診所,基層醫療單位,25.00,25.00,1.0000,BCG,4,是,否,臺中市,西屯區
107年第三季,3503271353,大業診所,基層醫療單位,24.00,24.00,1.0000,BCG,4,是,否,臺中市,西屯區
107年第四季,3503271353,大業診所,基層醫療單位,25.00,25.00,1.0000,BCG,4,是,否,臺中市,西屯區
108年第一季,3503271353,大業診所,基層醫療單位,22.00,22.00,1.0000,BCG,4,是,否,臺中市,西屯區
108年第二季,3503271353,大業診所,基層醫療單位,21.00,21.00,1.0000,BCG,4,是,否,臺中市,西屯區
108年第三季,3503271353,大業診所,基層醫療單位,20.00,20.00,1.0000,BCG,4,是,否,臺中市,西屯區
108年第四季,3503271353,大業診所,基層醫療單位,20.00,20.00,1.0000,BCG,3,是,否,臺中市,西屯區
109年第一季,3503271353,大業診所,基層醫療單位,20.00,20.00,1.0000,BCG,3,是,否,臺中市,西屯區
109年第二季,3503271353,大業診所,基層醫療單位,21.00,21.00,1.0000,BCG,3,是,否,臺中市,西屯區
109年第三季,3503271353,大業診所,基層醫療單位,21.00,21.00,1.0000,BCG,3,是,否,臺中市,西屯區
109年第四季,3503271353,大業診所,基層醫療單位,20.00,20.00,1.0000,BCG,3,是,否,臺中市,西屯區
110年第一季,3503271353,大業診所,基層醫療單位,19.00,19.00,1.0000,BCG,3,是,否,臺中市,西屯區
110年第二季,3503271353,大業診所,基層醫療單位,19.00,19.00,1.0000,BCG,3,是,否,臺中市,西屯區
110年第三季,3503271353,大業診所,基層醫療單位,18.00,18.00,1.0000,BCG,3,是,否,臺中市,西屯區
111年第一季,3503271353,大業診所,基層醫療單位,14.00,14.00,1.0000,BCG,3,是,否,臺中市,西屯區
111年第二季,3503271353,大業診所,基層醫療單位,13.00,13.00,1.0000,BCG,3,是,否,臺中市,西屯區
111年第三季,3503271353,大業診所,基層醫療單位,11.00,11.00,1.0000,BCG,3,是,否,臺中市,西屯區
111年第四季,3503271353,大業診所,基層醫療單位,13.00,13.00,1.0000,BCG,3,是,否,臺中市,西屯區
112年第一季,3503271353,大業診所,基層醫療單位,13.00,13.00,1.0000,BCG,4,是,否,臺中市,西屯區
112年第二季,3503271353,大業診所,基層醫療單位,13.00,13.00,1.0000,BCG,4,是,否,臺中市,西屯區
96年第三季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCP,2,是,否,新竹市,東區
96年第四季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCP,2,是,否,新竹市,東區
97年第一季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCP,2,是,否,新竹市,東區
97年第二季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCP,2,是,否,新竹市,東區
97年第三季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCP,2,是,否,新竹市,東區
97年第四季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCP,2,是,否,新竹市,東區
98年第一季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCP,2,是,是,新竹市,東區
98年第二季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCP,2,是,是,新竹市,東區
98年第三季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCP,2,是,是,新竹市,東區
98年第四季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCP,2,是,是,新竹市,東區
99年第一季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCP,2,是,是,新竹市,東區
99年第二季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCP,2,是,是,新竹市,東區
99年第三季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCP,2,是,是,新竹市,東區
99年第四季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCG,2,是,是,新竹市,東區
100年第一季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCG,2,是,是,新竹市,東區
100年第二季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCG,2,是,是,新竹市,東區
100年第三季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCG,2,是,是,新竹市,東區
100年第四季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCG,2,是,是,新竹市,東區
101年第一季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,是,新竹市,東區
101年第二季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,是,新竹市,東區
101年第三季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,是,新竹市,東區
101年第四季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,是,新竹市,東區
102年第一季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,否,新竹市,東區
102年第二季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,2,是,否,新竹市,東區
102年第三季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,2,是,否,新竹市,東區
102年第四季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,2,是,否,新竹市,東區
103年第一季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,2,是,是,新竹市,東區
103年第二季,3512011276,安慎診所,基層醫療單位,4.00,4.00,1.0000,BCG,3,是,是,新竹市,東區
103年第三季,3512011276,安慎診所,基層醫療單位,4.00,4.00,1.0000,BCG,2,是,是,新竹市,東區
103年第四季,3512011276,安慎診所,基層醫療單位,4.00,4.00,1.0000,BCG,2,是,是,新竹市,東區
104年第一季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,2,是,是,新竹市,東區
104年第二季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,2,是,是,新竹市,東區
104年第三季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,2,是,否,新竹市,東區
104年第四季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,2,是,否,新竹市,東區
105年第一季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,是,新竹市,東區
105年第三季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,否,新竹市,東區
105年第四季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,否,新竹市,東區
106年第一季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,3,是,是,新竹市,東區
106年第二季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,3,是,是,新竹市,東區
106年第三季,3512011276,安慎診所,基層醫療單位,1.00,1.00,1.0000,BCG,3,是,否,新竹市,東區
106年第四季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,2,是,否,新竹市,東區
107年第一季,3512011276,安慎診所,基層醫療單位,3.00,3.00,1.0000,BCG,3,是,否,新竹市,東區
107年第二季,3512011276,安慎診所,基層醫療單位,2.00,2.00,1.0000,BCG,3,是,否,新竹市,東區
107年第三季,3512011276,安慎診所,基層醫療單位,4.00,4.00,1.0000,BCG,3,是,否,新竹市,東區
107年第四季,3512011276,安慎診所,基層醫療單位,4.00,4.00,1.0000,BCG,3,是,否,新竹市,東區
108年第一季,3512011276,安慎診所,基層醫療單位,4.00,4.00,1.0000,BCG,3,是,否,新竹市,東區
108年第二季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,3,是,否,新竹市,東區
108年第三季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,4,是,否,新竹市,東區
108年第四季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,3,是,否,新竹市,東區
109年第一季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,3,是,否,新竹市,東區
109年第二季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,3,是,否,新竹市,東區
109年第三季,3512011276,安慎診所,基層醫療單位,6.00,6.00,1.0000,BCG,2,是,否,新竹市,東區
109年第四季,3512011276,安慎診所,基層醫療單位,6.00,6.00,1.0000,BCG,2,是,否,新竹市,東區
110年第一季,3512011276,安慎診所,基層醫療單位,6.00,6.00,1.0000,BCG,4,是,否,新竹市,東區
110年第二季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,4,是,否,新竹市,東區
110年第三季,3512011276,安慎診所,基層醫療單位,6.00,6.00,1.0000,BCG,3,是,否,新竹市,東區
110年第四季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,3,是,否,新竹市,東區
111年第一季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,2,是,否,新竹市,東區
111年第二季,3512011276,安慎診所,基層醫療單位,6.00,6.00,1.0000,BCG,2,是,否,新竹市,東區
111年第三季,3512011276,安慎診所,基層醫療單位,6.00,6.00,1.0000,BCG,2,是,否,新竹市,東區
111年第四季,3512011276,安慎診所,基層醫療單位,5.00,5.00,1.0000,BCG,2,是,否,新竹市,東區
112年第一季,3512011276,安慎診所,基層醫療單位,4.00,4.00,1.0000,BCG,2,是,否,新竹市,東區
112年第二季,3512011276,安慎診所,基層醫療單位,4.00,4.00,1.0000,BCG,2,是,否,新竹市,東區
95年第一季,3517052535,文冠內科診所,基層醫療單位,8.00,9.00,0.8888,BCP,1,否,否,臺中市,北區
95年第二季,3517052535,文冠內科診所,基層醫療單位,13.00,14.00,0.9285,BCP,1,否,否,臺中市,北區
95年第三季,3517052535,文冠內科診所,基層醫療單位,17.00,17.00,1.0000,BCP,1,否,否,臺中市,北區
95年第四季,3517052535,文冠內科診所,基層醫療單位,17.00,18.00,0.9444,BCP,1,否,否,臺中市,北區
96年第一季,3517052535,文冠內科診所,基層醫療單位,18.00,19.00,0.9473,BCP,1,否,否,臺中市,北區
96年第二季,3517052535,文冠內科診所,基層醫療單位,22.00,22.00,1.0000,BCP,1,否,否,臺中市,北區
96年第三季,3517052535,文冠內科診所,基層醫療單位,23.00,23.00,1.0000,BCP,1,否,否,臺中市,北區
96年第四季,3517052535,文冠內科診所,基層醫療單位,21.00,24.00,0.8750,BCP,1,否,否,臺中市,北區
97年第一季,3517052535,文冠內科診所,基層醫療單位,24.00,26.00,0.9230,BCP,1,否,否,臺中市,北區
97年第二季,3517052535,文冠內科診所,基層醫療單位,25.00,25.00,1.0000,BCP,1,否,否,臺中市,北區
97年第三季,3517052535,文冠內科診所,基層醫療單位,25.00,25.00,1.0000,BCP,1,否,否,臺中市,北區
97年第四季,3517052535,文冠內科診所,基層醫療單位,25.00,25.00,1.0000,BCP,1,否,否,臺中市,北區
98年第一季,3517052535,文冠內科診所,基層醫療單位,25.00,25.00,1.0000,BCP,1,否,否,臺中市,北區
98年第二季,3517052535,文冠內科診所,基層醫療單位,25.00,25.00,1.0000,BCP,1,否,否,臺中市,北區
98年第三季,3517052535,文冠內科診所,基層醫療單位,25.00,26.00,0.9615,BCP,1,否,否,臺中市,北區
98年第四季,3517052535,文冠內科診所,基層醫療單位,25.00,25.00,1.0000,BCP,1,否,否,臺中市,北區
99年第一季,3517052535,文冠內科診所,基層醫療單位,26.00,26.00,1.0000,BCP,1,否,否,臺中市,北區
99年第二季,3517052535,文冠內科診所,基層醫療單位,27.00,27.00,1.0000,BCP,1,否,否,臺中市,北區
99年第三季,3517052535,文冠內科診所,基層醫療單位,26.00,26.00,1.0000,BCP,1,否,否,臺中市,北區
99年第四季,3517052535,文冠內科診所,基層醫療單位,25.00,25.00,1.0000,BCG,1,否,否,臺中市,北區
100年第一季,3517052535,文冠內科診所,基層醫療單位,25.00,25.00,1.0000,BCG,1,否,,臺中市,北區
100年第二季,3517052535,文冠內科診所,基層醫療單位,24.00,24.00,1.0000,BCG,1,否,,臺中市,北區
100年第三季,3517052535,文冠內科診所,基層醫療單位,23.00,23.00,1.0000,BCG,1,否,,臺中市,北區
100年第四季,3517052535,文冠內科診所,基層醫療單位,22.00,22.00,1.0000,BCG,1,否,,臺中市,北區
101年第一季,3517052535,文冠內科診所,基層醫療單位,23.00,23.00,1.0000,BCG,1,否,否,臺中市,北區
101年第二季,3517052535,文冠內科診所,基層醫療單位,23.00,24.00,0.9583,BCG,1,否,否,臺中市,北區
101年第三季,3517052535,文冠內科診所,基層醫療單位,23.00,23.00,1.0000,BCG,1,否,否,臺中市,北區
101年第四季,3517052535,文冠內科診所,基層醫療單位,22.00,22.00,1.0000,BCG,1,否,否,臺中市,北區
102年第一季,3517052535,文冠內科診所,基層醫療單位,22.00,22.00,1.0000,BCG,1,否,否,臺中市,北區
102年第二季,3517052535,文冠內科診所,基層醫療單位,23.00,23.00,1.0000,BCG,1,否,否,臺中市,北區
102年第三季,3517052535,文冠內科診所,基層醫療單位,21.00,21.00,1.0000,BCG,1,否,否,臺中市,北區
102年第四季,3517052535,文冠內科診所,基層醫療單位,22.00,22.00,1.0000,BCG,1,否,否,臺中市,北區
103年第一季,3517052535,文冠內科診所,基層醫療單位,22.00,22.00,1.0000,BCG,1,否,否,臺中市,北區
103年第二季,3517052535,文冠內科診所,基層醫療單位,23.00,23.00,1.0000,BCG,1,否,否,臺中市,北區
103年第三季,3517052535,文冠內科診所,基層醫療單位,20.00,21.00,0.9523,BCG,1,否,否,臺中市,北區
103年第四季,3517052535,文冠內科診所,基層醫療單位,19.00,19.00,1.0000,BCG,1,否,否,臺中市,北區
