年度,醫事機構代碼,醫事機構名稱,特約類別,瘻管重建人次數,血液透析透析人月數,瘻管重建率_每1000人月,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
110年第二季,3537081434,瑞林診所,基層醫療單位,5.00,288.00,0.0174,1,否,否,彰化縣,二林鎮
110年第四季,3537081434,瑞林診所,基層醫療單位,7.00,326.00,0.0215,1,否,否,彰化縣,二林鎮
111年第二季,3537081434,瑞林診所,基層醫療單位,3.00,330.00,0.0091,1,否,否,彰化縣,二林鎮
111年第四季,3537081434,瑞林診所,基層醫療單位,7.00,332.00,0.0211,1,否,否,彰化縣,二林鎮
112年第二季,3537081434,瑞林診所,基層醫療單位,15.00,366.00,0.0410,1,否,否,彰化縣,二林鎮
96年第二季,3537121184,秀農診所,基層醫療單位,0.00,10.30,0.0000,1,否,否,彰化縣,秀水鄉
96年第四季,3537121184,秀農診所,基層醫療單位,0.00,76.90,0.0000,1,否,否,彰化縣,秀水鄉
97年第二季,3537121184,秀農診所,基層醫療單位,0.00,111.70,0.0000,1,否,否,彰化縣,秀水鄉
97年第四季,3537121184,秀農診所,基層醫療單位,0.00,164.70,0.0000,1,否,否,彰化縣,秀水鄉
98年第二季,3537121184,秀農診所,基層醫療單位,0.00,194.20,0.0000,1,否,否,彰化縣,秀水鄉
98年第四季,3537121184,秀農診所,基層醫療單位,1.00,222.60,0.0044,1,否,否,彰化縣,秀水鄉
99年第二季,3537121184,秀農診所,基層醫療單位,2.00,249.90,0.0080,1,否,否,彰化縣,秀水鄉
99年第四季,3537121184,秀農診所,基層醫療單位,0.00,270.30,0.0000,1,否,否,彰化縣,秀水鄉
100年第二季,3537121184,秀農診所,基層醫療單位,2.00,299.70,0.0066,1,否,,彰化縣,秀水鄉
100年第四季,3537121184,秀農診所,基層醫療單位,0.00,314.10,0.0000,1,否,,彰化縣,秀水鄉
101年第二季,3537121184,秀農診所,基層醫療單位,0.00,331.80,0.0000,1,否,否,彰化縣,秀水鄉
101年第四季,3537121184,秀農診所,基層醫療單位,2.00,356.60,0.0056,1,否,否,彰化縣,秀水鄉
102年第二季,3537121184,秀農診所,基層醫療單位,0.00,426.10,0.0000,1,否,否,彰化縣,秀水鄉
102年第四季,3537121184,秀農診所,基層醫療單位,1.00,450.20,0.0022,2,否,否,彰化縣,秀水鄉
103年第二季,3537121184,秀農診所,基層醫療單位,0.00,459.30,0.0000,2,否,否,彰化縣,秀水鄉
103年第四季,3537121184,秀農診所,基層醫療單位,0.00,466.80,0.0000,1,否,否,彰化縣,秀水鄉
104年第二季,3537121184,秀農診所,基層醫療單位,0.00,519.00,0.0000,1,否,否,彰化縣,秀水鄉
104年第四季,3537121184,秀農診所,基層醫療單位,0.00,521.00,0.0000,1,否,否,彰化縣,秀水鄉
105年第二季,3537121184,秀農診所,基層醫療單位,0.00,514.00,0.0000,1,否,否,彰化縣,秀水鄉
105年第四季,3537121184,秀農診所,基層醫療單位,0.00,478.00,0.0000,1,否,否,彰化縣,秀水鄉
106年第二季,3537121184,秀農診所,基層醫療單位,0.00,514.00,0.0000,1,否,否,彰化縣,秀水鄉
106年第四季,3537121184,秀農診所,基層醫療單位,0.00,501.00,0.0000,1,否,否,彰化縣,秀水鄉
107年第二季,3537121184,秀農診所,基層醫療單位,0.00,458.00,0.0000,1,否,否,彰化縣,秀水鄉
107年第四季,3537121184,秀農診所,基層醫療單位,0.00,450.00,0.0000,1,否,否,彰化縣,秀水鄉
108年第二季,3537121184,秀農診所,基層醫療單位,0.00,460.00,0.0000,1,否,否,彰化縣,秀水鄉
108年第四季,3537121184,秀農診所,基層醫療單位,0.00,459.00,0.0000,1,否,否,彰化縣,秀水鄉
109年第二季,3537121184,秀農診所,基層醫療單位,2.00,293.00,0.0068,1,否,否,彰化縣,秀水鄉
109年第四季,3537121184,秀農診所,基層醫療單位,0.00,294.00,0.0000,1,否,否,彰化縣,秀水鄉
110年第二季,3537121184,秀農診所,基層醫療單位,1.00,316.00,0.0032,1,否,否,彰化縣,秀水鄉
110年第四季,3537121184,秀農診所,基層醫療單位,0.00,318.00,0.0000,1,否,否,彰化縣,秀水鄉
111年第二季,3537121184,秀農診所,基層醫療單位,2.00,328.00,0.0061,1,否,否,彰化縣,秀水鄉
111年第四季,3537121184,秀農診所,基層醫療單位,2.00,320.00,0.0063,1,否,否,彰化縣,秀水鄉
112年第二季,3537121184,秀農診所,基層醫療單位,0.00,309.00,0.0000,1,否,否,彰化縣,秀水鄉
95年第二季,3538010573,新協合聯合診所,基層醫療單位,2.00,728.50,0.0027,2,否,否,南投縣,南投市
95年第四季,3538010573,新協合聯合診所,基層醫療單位,3.00,774.60,0.0038,2,否,否,南投縣,南投市
96年第二季,3538010573,新協合聯合診所,基層醫療單位,3.00,761.50,0.0039,2,否,否,南投縣,南投市
96年第四季,3538010573,新協合聯合診所,基層醫療單位,9.00,793.10,0.0113,2,否,否,南投縣,南投市
97年第二季,3538010573,新協合聯合診所,基層醫療單位,1.00,791.50,0.0012,2,否,否,南投縣,南投市
97年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,811.30,0.0000,2,否,否,南投縣,南投市
98年第二季,3538010573,新協合聯合診所,基層醫療單位,1.00,778.90,0.0012,2,否,否,南投縣,南投市
98年第四季,3538010573,新協合聯合診所,基層醫療單位,1.00,766.40,0.0013,2,否,否,南投縣,南投市
99年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,776.90,0.0000,2,否,否,南投縣,南投市
99年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,869.80,0.0000,2,否,否,南投縣,南投市
100年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,836.10,0.0000,2,否,,南投縣,南投市
100年第四季,3538010573,新協合聯合診所,基層醫療單位,1.00,813.80,0.0012,2,否,,南投縣,南投市
101年第二季,3538010573,新協合聯合診所,基層醫療單位,1.00,831.30,0.0012,2,否,否,南投縣,南投市
101年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,776.10,0.0000,2,否,否,南投縣,南投市
102年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,746.70,0.0000,2,否,否,南投縣,南投市
102年第四季,3538010573,新協合聯合診所,基層醫療單位,1.00,769.10,0.0013,2,否,否,南投縣,南投市
103年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,746.10,0.0000,2,否,否,南投縣,南投市
103年第四季,3538010573,新協合聯合診所,基層醫療單位,1.00,730.20,0.0013,2,否,否,南投縣,南投市
104年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,758.00,0.0000,2,否,否,南投縣,南投市
104年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,734.00,0.0000,2,否,否,南投縣,南投市
105年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,701.00,0.0000,2,否,否,南投縣,南投市
105年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,683.00,0.0000,2,否,否,南投縣,南投市
106年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,689.00,0.0000,2,否,否,南投縣,南投市
106年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,682.00,0.0000,2,否,否,南投縣,南投市
107年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,691.00,0.0000,2,否,否,南投縣,南投市
107年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,700.00,0.0000,2,否,否,南投縣,南投市
108年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,709.00,0.0000,2,否,否,南投縣,南投市
108年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,695.00,0.0000,2,否,否,南投縣,南投市
109年第二季,3538010573,新協合聯合診所,基層醫療單位,2.00,449.00,0.0045,2,否,否,南投縣,南投市
109年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,499.00,0.0000,2,否,否,南投縣,南投市
110年第二季,3538010573,新協合聯合診所,基層醫療單位,2.00,449.00,0.0045,2,否,否,南投縣,南投市
110年第四季,3538010573,新協合聯合診所,基層醫療單位,1.00,516.00,0.0019,2,否,否,南投縣,南投市
111年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,479.00,0.0000,2,否,否,南投縣,南投市
111年第四季,3538010573,新協合聯合診所,基層醫療單位,0.00,519.00,0.0000,2,否,否,南投縣,南投市
112年第二季,3538010573,新協合聯合診所,基層醫療單位,0.00,450.00,0.0000,2,否,否,南投縣,南投市
107年第四季,3538012148,農安診所,基層醫療單位,0.00,34.00,0.0000,1,否,否,南投縣,南投市
108年第二季,3538012148,農安診所,基層醫療單位,0.00,220.00,0.0000,1,否,否,南投縣,南投市
108年第四季,3538012148,農安診所,基層醫療單位,0.00,270.00,0.0000,1,否,否,南投縣,南投市
109年第二季,3538012148,農安診所,基層醫療單位,1.00,241.00,0.0041,1,否,否,南投縣,南投市
109年第四季,3538012148,農安診所,基層醫療單位,0.00,281.00,0.0000,1,否,否,南投縣,南投市
110年第二季,3538012148,農安診所,基層醫療單位,4.00,292.00,0.0137,1,否,否,南投縣,南投市
110年第四季,3538012148,農安診所,基層醫療單位,3.00,312.00,0.0096,1,否,否,南投縣,南投市
111年第二季,3538012148,農安診所,基層醫療單位,1.00,388.00,0.0026,1,否,否,南投縣,南投市
111年第四季,3538012148,農安診所,基層醫療單位,1.00,371.00,0.0027,1,否,否,南投縣,南投市
112年第二季,3538012148,農安診所,基層醫療單位,2.00,359.00,0.0056,1,否,否,南投縣,南投市
98年第二季,3538022485,金生診所,基層醫療單位,0.00,1081.50,0.0000,2,否,否,南投縣,埔里鎮
98年第四季,3538022485,金生診所,基層醫療單位,0.00,1020.60,0.0000,2,否,否,南投縣,埔里鎮
99年第二季,3538022485,金生診所,基層醫療單位,0.00,1011.70,0.0000,2,否,否,南投縣,埔里鎮
99年第四季,3538022485,金生診所,基層醫療單位,5.00,1025.10,0.0048,2,否,否,南投縣,埔里鎮
100年第二季,3538022485,金生診所,基層醫療單位,2.00,1024.60,0.0019,2,否,,南投縣,埔里鎮
100年第四季,3538022485,金生診所,基層醫療單位,0.00,1050.80,0.0000,2,否,,南投縣,埔里鎮
101年第二季,3538022485,金生診所,基層醫療單位,0.00,1021.60,0.0000,2,否,否,南投縣,埔里鎮
101年第四季,3538022485,金生診所,基層醫療單位,0.00,1048.30,0.0000,2,否,否,南投縣,埔里鎮
102年第二季,3538022485,金生診所,基層醫療單位,0.00,1019.20,0.0000,2,否,否,南投縣,埔里鎮
102年第四季,3538022485,金生診所,基層醫療單位,0.00,1041.30,0.0000,2,否,否,南投縣,埔里鎮
103年第二季,3538022485,金生診所,基層醫療單位,0.00,1005.30,0.0000,2,否,否,南投縣,埔里鎮
103年第四季,3538022485,金生診所,基層醫療單位,3.00,1025.60,0.0029,2,否,否,南投縣,埔里鎮
104年第二季,3538022485,金生診所,基層醫療單位,0.00,1088.00,0.0000,2,否,否,南投縣,埔里鎮
104年第四季,3538022485,金生診所,基層醫療單位,0.00,1125.00,0.0000,2,否,否,南投縣,埔里鎮
105年第二季,3538022485,金生診所,基層醫療單位,0.00,1169.00,0.0000,2,否,否,南投縣,埔里鎮
105年第四季,3538022485,金生診所,基層醫療單位,0.00,1146.00,0.0000,2,否,否,南投縣,埔里鎮
106年第二季,3538022485,金生診所,基層醫療單位,0.00,1180.00,0.0000,2,是,否,南投縣,埔里鎮
106年第四季,3538022485,金生診所,基層醫療單位,0.00,1129.00,0.0000,2,是,否,南投縣,埔里鎮
107年第二季,3538022485,金生診所,基層醫療單位,0.00,1193.00,0.0000,2,是,否,南投縣,埔里鎮
107年第四季,3538022485,金生診所,基層醫療單位,0.00,1215.00,0.0000,2,是,否,南投縣,埔里鎮
108年第二季,3538022485,金生診所,基層醫療單位,0.00,1276.00,0.0000,2,是,否,南投縣,埔里鎮
108年第四季,3538022485,金生診所,基層醫療單位,0.00,1247.00,0.0000,2,是,否,南投縣,埔里鎮
109年第二季,3538022485,金生診所,基層醫療單位,10.00,913.00,0.0110,2,是,否,南投縣,埔里鎮
109年第四季,3538022485,金生診所,基層醫療單位,6.00,855.00,0.0070,2,是,否,南投縣,埔里鎮
110年第二季,3538022485,金生診所,基層醫療單位,7.00,895.00,0.0078,2,是,否,南投縣,埔里鎮
110年第四季,3538022485,金生診所,基層醫療單位,8.00,920.00,0.0087,2,是,否,南投縣,埔里鎮
111年第二季,3538022485,金生診所,基層醫療單位,4.00,861.00,0.0046,2,是,否,南投縣,埔里鎮
111年第四季,3538022485,金生診所,基層醫療單位,6.00,960.00,0.0063,2,是,否,南投縣,埔里鎮
112年第二季,3538022485,金生診所,基層醫療單位,6.00,843.00,0.0071,2,是,否,南投縣,埔里鎮
95年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,580.80,0.0000,1,否,否,南投縣,草屯鎮
95年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,574.10,0.0000,1,否,否,南投縣,草屯鎮
96年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,560.70,0.0000,1,否,否,南投縣,草屯鎮
96年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,548.20,0.0000,1,否,否,南投縣,草屯鎮
97年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,551.10,0.0000,1,否,否,南投縣,草屯鎮
97年第四季,3538031107,草屯陳診所,基層醫療單位,1.00,555.60,0.0017,1,否,否,南投縣,草屯鎮
98年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,549.90,0.0000,1,否,否,南投縣,草屯鎮
98年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,542.80,0.0000,1,否,否,南投縣,草屯鎮
99年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,543.20,0.0000,1,否,否,南投縣,草屯鎮
99年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,557.80,0.0000,1,否,否,南投縣,草屯鎮
100年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,527.90,0.0000,1,否,,南投縣,草屯鎮
100年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,523.90,0.0000,1,否,,南投縣,草屯鎮
101年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,517.30,0.0000,1,否,否,南投縣,草屯鎮
101年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,506.00,0.0000,1,否,否,南投縣,草屯鎮
102年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,477.40,0.0000,1,否,否,南投縣,草屯鎮
102年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,485.50,0.0000,1,否,否,南投縣,草屯鎮
103年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,470.50,0.0000,1,是,是,南投縣,草屯鎮
103年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,460.60,0.0000,1,是,是,南投縣,草屯鎮
104年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,474.00,0.0000,1,是,是,南投縣,草屯鎮
104年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,477.00,0.0000,1,是,否,南投縣,草屯鎮
105年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,462.00,0.0000,1,是,是,南投縣,草屯鎮
105年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,463.00,0.0000,1,是,否,南投縣,草屯鎮
106年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,467.00,0.0000,1,是,是,南投縣,草屯鎮
106年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,472.00,0.0000,1,是,否,南投縣,草屯鎮
107年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,459.00,0.0000,1,是,否,南投縣,草屯鎮
107年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,444.00,0.0000,1,是,否,南投縣,草屯鎮
108年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,421.00,0.0000,1,是,否,南投縣,草屯鎮
108年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,402.00,0.0000,1,是,否,南投縣,草屯鎮
109年第二季,3538031107,草屯陳診所,基層醫療單位,1.00,338.00,0.0030,1,是,否,南投縣,草屯鎮
109年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,326.00,0.0000,1,是,否,南投縣,草屯鎮
110年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,335.00,0.0000,1,是,否,南投縣,草屯鎮
110年第四季,3538031107,草屯陳診所,基層醫療單位,0.00,320.00,0.0000,1,是,否,南投縣,草屯鎮
111年第二季,3538031107,草屯陳診所,基層醫療單位,0.00,323.00,0.0000,1,是,否,南投縣,草屯鎮
111年第四季,3538031107,草屯陳診所,基層醫療單位,1.00,298.00,0.0034,1,是,否,南投縣,草屯鎮
112年第二季,3538031107,草屯陳診所,基層醫療單位,3.00,317.00,0.0095,1,是,否,南投縣,草屯鎮
112年第二季,3538033227,惠家診所,基層醫療單位,0.00,12.00,0.0000,1,否,否,南投縣,草屯鎮
95年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,253.00,0.0000,1,否,否,南投縣,竹山鎮
95年第四季,3538041425,安馨竹山內科診所,基層醫療單位,1.00,264.00,0.0037,1,否,否,南投縣,竹山鎮
96年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,243.50,0.0000,1,否,否,南投縣,竹山鎮
96年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,241.40,0.0000,1,否,否,南投縣,竹山鎮
97年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,243.00,0.0000,1,否,否,南投縣,竹山鎮
97年第四季,3538041425,安馨竹山內科診所,基層醫療單位,1.00,249.20,0.0040,1,否,否,南投縣,竹山鎮
98年第二季,3538041425,安馨竹山內科診所,基層醫療單位,2.00,246.00,0.0081,1,否,否,南投縣,竹山鎮
98年第四季,3538041425,安馨竹山內科診所,基層醫療單位,2.00,262.90,0.0076,1,否,否,南投縣,竹山鎮
99年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,272.00,0.0000,1,否,否,南投縣,竹山鎮
99年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,277.00,0.0000,1,否,否,南投縣,竹山鎮
100年第二季,3538041425,安馨竹山內科診所,基層醫療單位,1.00,275.40,0.0036,1,否,,南投縣,竹山鎮
100年第四季,3538041425,安馨竹山內科診所,基層醫療單位,2.00,273.60,0.0073,1,是,,南投縣,竹山鎮
101年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,275.80,0.0000,1,是,否,南投縣,竹山鎮
101年第四季,3538041425,安馨竹山內科診所,基層醫療單位,2.00,277.40,0.0072,1,是,否,南投縣,竹山鎮
102年第二季,3538041425,安馨竹山內科診所,基層醫療單位,1.00,269.10,0.0037,1,是,否,南投縣,竹山鎮
102年第四季,3538041425,安馨竹山內科診所,基層醫療單位,3.00,266.10,0.0112,1,是,否,南投縣,竹山鎮
103年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,253.70,0.0000,1,是,否,南投縣,竹山鎮
103年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,248.80,0.0000,1,是,否,南投縣,竹山鎮
104年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,268.00,0.0000,1,是,否,南投縣,竹山鎮
104年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,244.00,0.0000,1,是,否,南投縣,竹山鎮
105年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,249.00,0.0000,1,是,否,南投縣,竹山鎮
105年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,257.00,0.0000,1,是,否,南投縣,竹山鎮
106年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,288.00,0.0000,1,是,否,南投縣,竹山鎮
106年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,277.00,0.0000,1,是,否,南投縣,竹山鎮
107年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,263.00,0.0000,1,是,否,南投縣,竹山鎮
107年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,256.00,0.0000,1,是,否,南投縣,竹山鎮
108年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,282.00,0.0000,1,否,否,南投縣,竹山鎮
108年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,278.00,0.0000,1,否,否,南投縣,竹山鎮
109年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,233.00,0.0000,1,否,否,南投縣,竹山鎮
109年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,192.00,0.0000,1,否,否,南投縣,竹山鎮
110年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,211.00,0.0000,1,否,否,南投縣,竹山鎮
110年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,235.00,0.0000,1,否,否,南投縣,竹山鎮
111年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,251.00,0.0000,1,否,否,南投縣,竹山鎮
111年第四季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,240.00,0.0000,1,否,否,南投縣,竹山鎮
112年第二季,3538041425,安馨竹山內科診所,基層醫療單位,0.00,262.00,0.0000,1,否,否,南投縣,竹山鎮
99年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,410.50,0.0000,1,否,否,南投縣,竹山鎮
100年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,402.80,0.0000,1,否,,南投縣,竹山鎮
100年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,387.40,0.0000,1,否,,南投縣,竹山鎮
101年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,417.80,0.0000,1,否,否,南投縣,竹山鎮
101年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,421.40,0.0000,1,否,否,南投縣,竹山鎮
102年第二季,3538041523,瑞竹診所,基層醫療單位,1.00,417.70,0.0023,1,否,否,南投縣,竹山鎮
102年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,419.70,0.0000,1,否,否,南投縣,竹山鎮
103年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,431.50,0.0000,1,否,否,南投縣,竹山鎮
103年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,425.80,0.0000,1,否,否,南投縣,竹山鎮
104年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,444.00,0.0000,2,否,否,南投縣,竹山鎮
104年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,409.00,0.0000,1,否,否,南投縣,竹山鎮
105年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,448.00,0.0000,1,否,否,南投縣,竹山鎮
105年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,443.00,0.0000,1,否,否,南投縣,竹山鎮
106年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,425.00,0.0000,1,否,否,南投縣,竹山鎮
106年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,416.00,0.0000,1,否,否,南投縣,竹山鎮
107年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,388.00,0.0000,1,否,否,南投縣,竹山鎮
107年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,378.00,0.0000,1,否,否,南投縣,竹山鎮
108年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,377.00,0.0000,1,否,否,南投縣,竹山鎮
108年第四季,3538041523,瑞竹診所,基層醫療單位,0.00,378.00,0.0000,1,否,否,南投縣,竹山鎮
109年第二季,3538041523,瑞竹診所,基層醫療單位,0.00,289.00,0.0000,1,否,否,南投縣,竹山鎮
109年第四季,3538041523,瑞竹診所,基層醫療單位,1.00,242.00,0.0041,2,否,否,南投縣,竹山鎮
110年第二季,3538041523,瑞竹診所,基層醫療單位,1.00,278.00,0.0036,2,否,否,南投縣,竹山鎮
110年第四季,3538041523,瑞竹診所,基層醫療單位,1.00,313.00,0.0032,1,否,否,南投縣,竹山鎮
111年第二季,3538041523,瑞竹診所,基層醫療單位,1.00,273.00,0.0037,2,否,否,南投縣,竹山鎮
111年第四季,3538041523,瑞竹診所,基層醫療單位,5.00,286.00,0.0175,2,否,否,南投縣,竹山鎮
112年第二季,3538041523,瑞竹診所,基層醫療單位,7.00,302.00,0.0232,2,否,否,南投縣,竹山鎮
107年第二季,3538111619,水里社區基督聯合診所,基層醫療單位,0.00,461.00,0.0000,1,否,否,南投縣,水里鄉
107年第四季,3538111619,水里社區基督聯合診所,基層醫療單位,0.00,551.00,0.0000,1,否,否,南投縣,水里鄉
108年第二季,3538111619,水里社區基督聯合診所,基層醫療單位,0.00,547.00,0.0000,1,否,否,南投縣,水里鄉
108年第四季,3538111619,水里社區基督聯合診所,基層醫療單位,0.00,550.00,0.0000,1,否,否,南投縣,水里鄉
109年第二季,3538111619,水里社區基督聯合診所,基層醫療單位,5.00,335.00,0.0149,1,否,否,南投縣,水里鄉
109年第四季,3538111619,水里社區基督聯合診所,基層醫療單位,7.00,354.00,0.0198,1,否,否,南投縣,水里鄉
110年第二季,3538111619,水里社區基督聯合診所,基層醫療單位,3.00,381.00,0.0079,1,否,否,南投縣,水里鄉
110年第四季,3538111619,水里社區基督聯合診所,基層醫療單位,0.00,361.00,0.0000,1,否,否,南投縣,水里鄉
111年第二季,3538111619,水里社區基督聯合診所,基層醫療單位,8.00,367.00,0.0218,1,否,否,南投縣,水里鄉
111年第四季,3538111619,水里社區基督聯合診所,基層醫療單位,2.00,311.00,0.0064,1,否,否,南投縣,水里鄉
112年第二季,3538111619,水里社區基督聯合診所,基層醫療單位,9.00,320.00,0.0281,1,否,否,南投縣,水里鄉
95年第二季,3539012544,明德聯合診所,基層醫療單位,11.00,884.60,0.0124,2,否,否,雲林縣,斗六市
95年第四季,3539012544,明德聯合診所,基層醫療單位,12.00,880.00,0.0136,2,否,否,雲林縣,斗六市
96年第二季,3539012544,明德聯合診所,基層醫療單位,11.00,863.20,0.0127,2,否,否,雲林縣,斗六市
96年第四季,3539012544,明德聯合診所,基層醫療單位,9.00,871.90,0.0103,2,否,否,雲林縣,斗六市
97年第二季,3539012544,明德聯合診所,基層醫療單位,1.00,848.20,0.0011,2,否,否,雲林縣,斗六市
97年第四季,3539012544,明德聯合診所,基層醫療單位,4.00,817.80,0.0048,2,否,否,雲林縣,斗六市
98年第二季,3539012544,明德聯合診所,基層醫療單位,2.00,779.20,0.0025,2,否,否,雲林縣,斗六市
98年第四季,3539012544,明德聯合診所,基層醫療單位,0.00,809.90,0.0000,2,否,否,雲林縣,斗六市
99年第二季,3539012544,明德聯合診所,基層醫療單位,0.00,779.90,0.0000,2,否,否,雲林縣,斗六市
99年第四季,3539012544,明德聯合診所,基層醫療單位,0.00,818.10,0.0000,2,否,否,雲林縣,斗六市
100年第二季,3539012544,明德聯合診所,基層醫療單位,0.00,821.00,0.0000,2,否,,雲林縣,斗六市
100年第四季,3539012544,明德聯合診所,基層醫療單位,0.00,820.40,0.0000,2,否,,雲林縣,斗六市
101年第二季,3539012544,明德聯合診所,基層醫療單位,0.00,791.70,0.0000,2,否,否,雲林縣,斗六市
101年第四季,3539012544,明德聯合診所,基層醫療單位,0.00,729.70,0.0000,2,否,否,雲林縣,斗六市
102年第二季,3539012544,明德聯合診所,基層醫療單位,0.00,712.70,0.0000,2,否,否,雲林縣,斗六市
102年第四季,3539012544,明德聯合診所,基層醫療單位,2.00,718.20,0.0027,2,否,否,雲林縣,斗六市
103年第二季,3539012544,明德聯合診所,基層醫療單位,6.00,681.40,0.0088,2,否,否,雲林縣,斗六市
103年第四季,3539012544,明德聯合診所,基層醫療單位,1.00,715.00,0.0013,2,否,否,雲林縣,斗六市
104年第二季,3539012544,明德聯合診所,基層醫療單位,0.00,756.00,0.0000,2,否,否,雲林縣,斗六市
104年第四季,3539012544,明德聯合診所,基層醫療單位,0.00,802.00,0.0000,2,否,否,雲林縣,斗六市
105年第二季,3539012544,明德聯合診所,基層醫療單位,0.00,855.00,0.0000,2,否,否,雲林縣,斗六市
